measurement,ms
saveValue_mkpath,0.0103
serialize_image,3.4707
saveImageToFile_total,4.6668
saveValue_saveImageToFile,4.6774
saveValue_removeHistory,0.0001
Storage_addImage_total,4.7142
addImage_saveValue,4.7226
addImage_updateGui,0.7288
release_event_total,7.5696
stroke_recognition_total,0.1118
release_cursor_clear,0.0277
release_pixmap_to_image AND release_background_applyImage,0.3399
release_image_to_pixmap,0.0069
release_background_clear,0.3826
release_geo_clearAll,0.0029
addImage_index_update,0.0000
addImage_img_copy,0.9919
saveValue_mkpath,0.0100
serialize_image,3.6138
saveImageToFile_total,4.7956
saveValue_saveImageToFile,4.8060
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8429
addImage_saveValue,4.8513
addImage_updateGui,0.7331
release_event_total,7.9037
stroke_recognition_total,0.3335
release_cursor_clear,0.0256
release_pixmap_to_image AND release_background_applyImage,0.5173
release_image_to_pixmap,0.0059
release_background_clear,0.3731
release_geo_clearAll,0.0021
addImage_index_update,0.0000
addImage_img_copy,0.9935
saveValue_mkpath,0.0371
serialize_image,3.6382
saveImageToFile_total,4.8026
saveValue_saveImageToFile,4.8132
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8782
addImage_saveValue,4.8866
addImage_updateGui,0.7321
release_event_total,8.3998
stroke_recognition_total,0.1955
release_cursor_clear,0.0188
release_pixmap_to_image AND release_background_applyImage,0.3100
release_image_to_pixmap,0.0036
release_background_clear,0.4698
release_geo_clearAll,0.0026
addImage_index_update,0.0000
addImage_img_copy,1.1587
saveValue_mkpath,0.0339
serialize_image,3.6778
saveImageToFile_total,4.9128
saveValue_saveImageToFile,4.9231
saveValue_removeHistory,0.0001
Storage_addImage_total,4.9849
addImage_saveValue,4.9934
addImage_updateGui,0.7070
release_event_total,8.2751
stroke_recognition_total,0.3432
release_cursor_clear,0.0180
release_pixmap_to_image AND release_background_applyImage,0.2531
release_image_to_pixmap,0.0038
release_background_clear,0.5094
release_geo_clearAll,0.0022
addImage_index_update,0.0000
addImage_img_copy,1.2299
saveValue_mkpath,0.0107
serialize_image,3.7480
saveImageToFile_total,5.1357
saveValue_saveImageToFile,5.1463
saveValue_removeHistory,0.0002
Storage_addImage_total,5.1837
addImage_saveValue,5.1922
addImage_updateGui,0.7070
release_event_total,8.7809
