measurement,ms
release_event_total,8.0688
stroke_recognition_total,0.0572
release_cursor_clear,0.0137
release_pixmap_to_image AND release_background_applyImage,0.3818
release_image_to_pixmap,0.2639
release_background_clear,1.3657
release_geo_clearAll,0.0029
addImage_index_update,0.0001
addImage_img_copy,1.1814
saveValue_mkpath,0.0103
serialize_image,3.9959
saveImageToFile_total,5.2360
saveValue_saveImageToFile,5.2479
saveValue_removeHistory,0.0001
Storage_addImage_total,5.2860
addImage_saveValue,5.2949
addImage_updateGui,1.0381
release_event_total,10.0522
stroke_recognition_total,0.0712
release_cursor_clear,0.0148
release_pixmap_to_image AND release_background_applyImage,0.4040
release_image_to_pixmap,0.0039
release_background_clear,0.4984
release_geo_clearAll,0.0022
addImage_index_update,0.0000
addImage_img_copy,1.1836
saveValue_mkpath,0.0105
serialize_image,3.5445
saveImageToFile_total,4.8404
saveValue_saveImageToFile,4.8514
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8894
addImage_saveValue,4.8980
addImage_updateGui,0.7176
release_event_total,8.1539
stroke_recognition_total,0.0689
release_cursor_clear,0.0134
release_pixmap_to_image AND release_background_applyImage,0.4052
release_image_to_pixmap,0.0039
release_background_clear,0.5254
release_geo_clearAll,0.0020
addImage_index_update,0.0000
addImage_img_copy,1.2523
saveValue_mkpath,0.0114
serialize_image,3.5475
saveImageToFile_total,4.9399
saveValue_saveImageToFile,4.9509
saveValue_removeHistory,0.0001
Storage_addImage_total,4.9943
addImage_saveValue,5.0029
addImage_updateGui,0.7430
release_event_total,8.3753
stroke_recognition_total,0.2473
release_cursor_clear,0.0188
release_pixmap_to_image AND release_background_applyImage,0.3584
release_image_to_pixmap,0.0039
release_background_clear,0.6120
release_geo_clearAll,0.0023
addImage_index_update,0.0000
addImage_img_copy,1.3134
saveValue_mkpath,0.0098
serialize_image,3.7929
saveImageToFile_total,5.1558
saveValue_saveImageToFile,5.1733
saveValue_removeHistory,0.0001
Storage_addImage_total,5.2168
addImage_saveValue,5.2278
addImage_updateGui,0.8595
release_event_total,9.2830
stroke_recognition_total,0.1552
release_cursor_clear,0.0276
recognized_background_copy,1.1654
recognized_merge_freehand,0.2824
addImage_index_update,0.0000
addImage_img_copy,1.0839
saveValue_mkpath,0.0101
serialize_image,3.4580
saveImageToFile_total,4.6055
saveValue_saveImageToFile,4.6156
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6525
addImage_saveValue,4.6615
addImage_updateGui,0.7192
recognized_add_freehand_history,6.6947
recognized_clear_stroke,0.4217
recognized_draw_ideal_shape,0.0344
release_pixmap_to_image AND release_background_applyImage,0.2058
release_image_to_pixmap,0.0031
release_background_clear,0.5516
release_geo_clearAll,0.0037
addImage_index_update,0.0000
addImage_img_copy,0.4192
saveValue_mkpath,0.0086
serialize_image,3.3554
saveImageToFile_total,4.5937
saveValue_saveImageToFile,4.6036
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6375
addImage_saveValue,4.6463
addImage_updateGui,0.7197
release_event_total,15.8225
stroke_recognition_total,0.1343
release_cursor_clear,0.0282
